代码,TS代码,板块,简称,最新价,流通市值_亿,总市值_亿,PE_TTM,扣非PE,PB,PS_TTM,股息率_%,52周高点,距52周高点跌幅_%,已在Watchlist
601555,601555.SH,沪,东吴证券,7.83,389.05,389.05,11.5319,11.493,0.9121,4.8713,4.57,10.69,26.75,否
601567,601567.SH,沪,三星电气,14.84,208.53,208.53,21.9052,34.0698,1.8149,1.493,4.23,33.66,55.91,否
601598,601598.SH,沪,中国外运,6.52,336.27,467.73,11.5254,27.1437,1.1511,0.4945,4.63,7.95,17.99,否
601600,601600.SH,沪,中国铝业,9.42,1243.75,1616.0,11.0206,11.2359,2.0685,0.6627,2.87,15.85,40.57,否
601607,601607.SH,沪,上海医药,16.19,451.57,600.38,10.335,20.3177,0.7899,0.2084,2.9,19.68,17.73,否
601611,601611.SH,沪,中国核建,10.71,322.78,322.78,27.5751,27.5973,1.4431,0.3384,0.56,20.1,46.72,否
601628,601628.SH,沪,中国人寿,37.03,7710.95,10466.42,7.2291,7.2206,1.8021,1.7479,2.31,51.92,28.68,否
601633,601633.SH,沪,长城汽车,15.21,945.03,1304.79,14.4023,25.7254,1.5255,0.5725,2.29,26.87,43.39,否
601677,601677.SH,沪,明泰铝业,16.62,206.63,206.63,8.5159,9.2646,1.0161,0.5264,1.9,20.0,16.9,否
601686,601686.SH,沪,友发集团,5.15,76.19,76.19,11.2653,16.8686,1.1347,0.1526,5.62,7.47,31.06,否
601688,601688.SH,沪,华泰证券,18.6,1359.06,1679.0,9.5715,9.6186,0.9622,4.4185,2.96,25.75,27.77,否
601689,601689.SH,沪,拓普集团,46.92,815.39,815.39,29.4855,31.3902,3.4351,2.6785,1.04,86.88,45.99,否
601696,601696.SH,沪,中银证券,11.62,322.8,322.8,28.6568,29.8657,1.6721,9.0682,0.32,18.4,36.85,否
601702,601702.SH,沪,华峰铝业,16.02,159.96,159.96,13.4561,13.7667,2.3892,1.2361,1.87,28.03,42.85,否
601717,601717.SH,沪,中创智领,14.87,229.32,265.49,6.4805,8.1088,1.1635,0.6449,8.41,27.69,46.3,否
601728,601728.SH,沪,中国电信,6.43,4991.59,5883.91,19.7742,21.7137,1.2469,1.1458,3.91,7.68,16.28,否
601766,601766.SH,沪,中国中车,6.04,1469.4,1733.41,12.4474,14.7874,0.9822,0.6082,3.81,8.23,26.61,否
601788,601788.SH,沪,光大证券,14.23,555.92,656.12,15.3644,16.0973,1.0674,5.5684,2.42,21.65,34.27,否
601799,601799.SH,沪,星宇股份,86.5,247.11,247.11,14.9121,15.2836,2.2341,1.5849,2.29,158.5,45.43,否
601800,601800.SH,沪,中国交建,5.86,686.73,950.13,7.0973,9.6245,0.3276,0.1297,3.34,9.66,39.34,否
601801,601801.SH,沪,皖新传媒,5.5,107.69,107.69,14.3612,18.1211,0.9155,1.3841,5.45,7.29,24.55,否
601808,601808.SH,沪,中海油服,12.46,368.87,594.54,15.6037,15.8051,1.2879,1.1708,2.27,21.85,42.97,否
601811,601811.SH,沪,新华文轩,11.9,94.24,146.83,9.3773,10.0772,0.9763,1.252,5.13,16.9,29.59,否
601857,601857.SH,沪,中国石油,11.2,18135.27,20498.35,12.9061,12.4468,1.2984,0.7198,4.2,13.69,18.19,否
601865,601865.SH,沪,福莱特,10.56,200.75,247.41,27.1105,25.7473,1.1412,1.6319,1.42,20.26,47.88,否
601877,601877.SH,沪,正泰电器,25.82,554.86,554.86,10.928,13.231,1.206,0.8209,2.49,42.13,38.71,否
601878,601878.SH,沪,浙商证券,9.17,419.42,419.42,16.082,16.209,1.1261,5.1111,1.84,12.68,27.68,否
601881,601881.SH,沪,中国银河,12.07,874.28,1319.78,10.2914,10.2939,1.1114,4.6969,2.9,19.27,37.36,否
601882,601882.SH,沪,海天精工,20.1,104.92,104.92,23.769,28.548,3.6136,3.0474,1.49,25.2,20.24,否
601888,601888.SH,沪,中国中免,52.29,1020.95,1086.48,26.5458,26.9771,1.8911,2.0423,1.34,99.81,47.61,否
601890,601890.SH,沪,亚星锚链,8.5,81.55,81.55,23.345,35.3587,2.126,3.9629,1.18,14.32,40.64,否
601898,601898.SH,沪,中煤能源,14.3,1308.74,1895.99,10.3447,10.1895,1.1409,1.2919,2.8,19.77,27.67,否
601899,601899.SH,沪,紫金矿业,34.74,7157.06,9237.61,13.6539,13.7599,5.112,2.4598,2.3,44.94,22.7,否
601900,601900.SH,沪,南方传媒,11.75,103.63,103.63,9.7153,10.6113,1.2455,1.2261,4.77,16.84,30.23,否
601901,601901.SH,沪,方正证券,6.72,553.2,553.2,12.9828,14.2692,1.0678,5.057,2.16,8.98,25.17,否
601918,601918.SH,沪,新集能源,10.1,261.64,261.64,10.7535,10.7771,1.4644,1.8218,1.68,12.16,16.94,否
601921,601921.SH,沪,浙版传媒,7.33,162.89,162.89,12.9728,16.5396,1.1202,1.6195,4.37,9.37,21.77,否
601928,601928.SH,沪,凤凰传媒,8.79,223.7,223.7,13.071,15.25,1.156,1.8634,5.69,11.58,24.09,否
601949,601949.SH,沪,中国出版,5.09,96.91,96.91,16.8413,24.525,0.9935,1.8611,2.0,8.08,37.0,否
601952,601952.SH,沪,苏垦农发,8.44,116.3,116.3,24.3007,27.9205,1.6166,1.185,2.25,11.21,24.71,否
601965,601965.SH,沪,中国汽研,14.04,140.18,140.77,13.4817,14.2774,1.8134,2.8794,2.42,20.51,31.55,否
601966,601966.SH,沪,玲珑轮胎,10.9,159.52,159.52,15.2625,17.9132,0.7005,0.638,1.99,16.34,33.29,否
601990,601990.SH,沪,南京证券,6.56,277.6,288.62,26.3806,26.2138,1.2408,10.4971,1.86,9.05,27.51,否
601991,601991.SH,沪,大唐发电,5.91,732.61,1093.75,13.6016,12.8469,2.9701,0.9015,2.5,9.92,40.42,否
603013,603013.SH,沪,亚普股份,16.23,82.48,82.48,14.7031,15.0465,1.8512,0.8817,2.47,30.29,46.42,否
