代码,TS代码,板块,简称,池内档位,质量分,10Y ROE均值_%,10Y ROE最低_%,营收5年CAGR_%,净利润5年CAGR_%,毛利率10Y均值_%,净利率10Y均值_%,FCF5Y转化率,FCF正年数占比_%,OCF负年数,分红率5Y均值_%,资产负债率_%,流通市值_亿,总市值_亿,PE_TTM,股息率_%,审计意见,管理层红旗,分红融资比,覆盖,量化警示,review_status,reviewed_date
603360,603360.SH,沪,百傲化学,Ⅱ候选,63.5,22.61,13.87,18.126065499817322,6.728223968096625,49.82,27.46,0.739,80.0,0,40.8,47.660000000000004,92.0,92.0,50.4486,0.0,unqualified_opinion,质押占总股本35%>10%,3.97,全新,股本膨胀>2%,pending,
603337,603337.SH,沪,杰克科技,Ⅱ候选,63.4,16.22,11.03,13.342684975648101,22.402747934725586,29.12,10.58,0.78,80.0,2,34.8,37.71,177.3,180.8,20.7789,1.92,unqualified_opinion,无,0.94,全新,无,pending,
601567,601567.SH,沪,三星电气,Ⅱ候选,63.3,12.61,6.75,15.152426542798203,5.382370705853612,30.44,13.22,0.522,80.0,0,57.9,54.33,188.2,188.2,31.8867,1.08,unqualified_opinion,无,1.25,公司页,无,pending,
688150,688150.SH,科,莱特光电,Ⅱ候选,63.3,10.77,4.56,14.992168707621211,25.48708162051532,58.76,25.76,0.28,80.0,2,44.3,14.78,148.1,148.1,73.0754,0.32,unqualified_opinion,无,0.37,全新,无,pending,
300718,300718.SZ,创,长盛轴承,Ⅱ候选,63.2,13.27,7.05,14.110948203156282,12.712828853342195,35.22,19.77,0.741,100.0,0,64.3,13.41,108.6,163.9,64.3,0.83,unqualified_opinion,大股东增减持近1年净减2.6%；高管增减持近1年净减1.2%,1.74,公司页/深度分析,无,pending,
601126,601126.SH,沪,四方股份,Ⅱ候选,63.2,10.53,4.57,16.225808751210693,19.697786197976864,36.73,8.81,1.411,100.0,0,83.6,61.46,337.9,341.2,39.3453,2.93,unqualified_opinion,无,2.18,公司页,无,pending,
603233,603233.SH,沪,大参林,Ⅱ候选,63.2,19.35,12.19,13.528494270812018,4.6432187927164525,38.06,5.64,2.015,100.0,0,57.6,67.30000000000001,214.0,214.0,15.691,4.77,unqualified_opinion,大股东增减持近1年净减2.0%,2.06,全新,股本膨胀>2%,pending,
688198,688198.SH,科,佰仁医疗,Ⅱ候选,63.2,15.09,5.62,27.79807043768967,26.29597716212888,89.32,34.04,0.134,80.0,0,78.5,19.09,97.3,97.3,58.5816,1.13,unqualified_opinion,无,0.78,全新,应收增速>营收,pending,
301029,301029.SZ,创,怡合达,Ⅱ候选,63.1,18.36,11.26,19.501057709583037,13.53897305626528,40.53,18.75,0.345,100.0,0,45.6,13.26,114.8,161.2,29.3943,2.94,unqualified_opinion,大股东增减持近1年净减8.3%,0.84,全新,股本膨胀>2%,pending,
600007,600007.SH,沪,中国国贸,Ⅱ候选,63.0,12.1,10.08,4.006400593181048,7.807024621928327,55.15,28.8,1.443,100.0,0,80.7,14.85,190.9,190.9,15.862,5.65,unqualified_opinion,无,10.22,公司页,无,pending,
603606,603606.SH,沪,东方电缆,Ⅱ候选,63.0,17.27,4.12,16.502518075042726,7.456677625778263,21.11,10.44,0.465,80.0,1,26.5,46.69,281.0,281.0,20.6137,1.37,unqualified_opinion,无,1.0,公司页/深度分析/管理层档案,无,pending,
688486,688486.SH,科,龙迅股份,Ⅱ候选,62.8,21.54,10.09,33.10119748655591,37.22234761674215,59.14,28.9,0.365,80.0,0,50.7,5.94,75.6,75.6,41.3966,1.83,unqualified_opinion,大股东增减持近1年净减2.6%,0.28,全新,应收增速>营收；股本膨胀>2%,pending,
605060,605060.SH,沪,联德股份,Ⅱ候选,62.6,15.81,8.19,13.358464954808458,6.48366964119742,39.46,20.76,0.17,60.0,0,39.6,17.169999999999998,97.9,98.6,38.2415,0.85,unqualified_opinion,大股东增减持近1年净减2.3%,0.52,全新,无,pending,
688248,688248.SH,科,南网科技,Ⅱ候选,62.5,10.77,7.55,27.01723153145452,37.51551747740769,28.79,9.58,0.781,80.0,0,37.3,35.53,241.1,241.1,59.8966,0.69,unqualified_opinion,无,0.53,公司页,无,pending,
000786,000786.SZ,深,北新建材,Ⅱ候选,62.4,15.18,3.15,8.512775330097423,-0.1682887983468384,32.19,15.5,0.941,100.0,0,37.4,21.6,275.1,277.1,11.781,4.21,unqualified_opinion,无,3.37,全新,无,pending,
601633,601633.SH,沪,长城汽车,Ⅱ候选,62.3,12.72,8.46,16.61811726091802,12.966216294143207,18.48,5.66,1.503,80.0,1,35.8,60.99,928.3,1281.6,21.3859,2.34,unqualified_opinion,无,3.72,全新,无,pending,
688797,688797.SH,科,臻宝科技,Ⅱ候选,62.3,19.14,17.04,31.034973255895416,40.44601096646605,45.84,23.18,-0.027,25.0,0,0.0,25.230000000000004,77.2,410.4,165.5901,0.0,none,无,0.0,全新,5Y累计FCF为负,pending,
002222,002222.SZ,深,福晶科技,Ⅱ候选,62.2,15.66,11.04,16.202126440924825,16.245882339930382,55.65,28.01,0.245,100.0,0,41.7,21.42,301.5,302.8,91.4731,0.31,unqualified_opinion,大股东增减持近1年净减1.6%,2.58,全新,股本膨胀>2%,pending,
