二筛排名,代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
81,CRM,Technology,61.8,B-保留观察,7.0,22.40158,28.29,9.82,229.74,否,利润增长显著快于营收,269.11,9.82,229.74,28.24,10.06,,77.68,17.96,12.61,6.93,15.29,0.29,,0.76,0.39,1.93,-1.8,14996000000.0
82,FRSH,Technology,61.7,B-保留观察,8.0,17.636927,18.07,18.98,nan,否,应收增速>营收,14.06,18.98,nan,nan,28.87,,84.96,21.9,17.79,11.43,2.65,0.04,,2.2,0.52,1.2,-0.66,242370000.0
83,LOGI,Technology,61.6,B-保留观察,7.0,19.40719,18.48,2.17,24.95,否,利润增长显著快于营收,129.66,2.17,24.95,24.77,-7.07,-10.48,43.2,14.69,32.16,19.25,2.29,0.04,,2.22,1.31,1.37,-3.43,1037207000.0
84,ORLA,Basic Materials,61.2,B-保留观察,14.0,13.666582,57.05,76.25,32.68,否,应收增速>营收；股数膨胀>2%,21.98,76.25,32.68,103.5,200.52,56.31,53.15,10.1,16.29,7.99,17.62,0.56,5.98,1.08,0.79,6.42,3.61,803269000.0
85,BZ,Communication Services,60.8,B-保留观察,21.0,15.567383,35.91,22.38,194.36,否,利润增长显著快于营收；应收增速>营收；股数膨胀>2%,25.26,22.38,194.36,65.57,49.78,nan,85.06,33.09,13.66,12.47,0.64,0.01,,4.66,0.38,1.62,2.46,4552371000.0
86,HCA,Healthcare,60.6,B-保留观察,0.0,13.712783,26.39,7.87,6.33,否,无,556.52,7.87,6.33,14.03,6.92,-7.21,41.5,8.97,-112.56,11.28,80.2,-8.08,5.37,0.97,1.26,1.13,-6.79,12636000000.0
87,SSRM,Basic Materials,60.2,B-保留观察,8.0,26.863841,20.59,12.39,26.8,否,FCF/NI<70%,36.52,12.39,26.8,43.14,14.55,0.97,52.78,24.28,11.28,7.02,6.2,0.11,31.4,2.08,0.29,0.61,-0.59,471853000.0
88,NOC,Industrials,60.1,B-保留观察,0.0,17.697674,27.98,4.65,-5.12,否,无,774.0,4.65,-5.12,17.92,-3.1,10.2,19.81,9.97,25.08,8.3,33.13,1.02,8.62,1.1,0.83,0.79,-2.49,4757000000.0
89,AXIA,Utilities,59.9,B-保留观察,0.0,16.350944,22.67,6.6,21.74,否,无,13.54,6.6,21.74,40.82,5.16,-0.53,87.8,15.89,5.54,2.3,27.63,0.65,0.16,1.68,0.14,1.83,-0.77,14509830000.0
90,G,Technology,59.9,B-保留观察,0.0,10.81938,27.49,5.14,16.06,否,无,48.64,5.14,16.06,22.36,7.64,,36.04,10.88,21.67,10.2,30.2,0.69,10.93,1.66,0.94,1.31,-2.35,812856000.0
91,EPAM,Technology,59.9,B-保留观察,0.0,15.748212,50.63,4.19,-3.43,否,无,222.53,4.19,-3.43,12.17,5.92,,28.83,6.92,10.27,7.83,2.93,0.04,301.1,2.59,1.13,1.62,-1.99,654934000.0
92,VICI,Real Estate,59.3,B-保留观察,6.0,10.232558,22.16,15.49,35.42,否,股数膨胀>2%,33.91,15.49,35.42,8.9,-38.52,,99.33,69.28,9.98,6.03,37.86,0.64,4.34,26.68,0.09,0.9,3.53,2509991000.0
93,PAC,Industrials,59.3,B-保留观察,14.0,20.385186,27.59,14.78,2.0,否,ROE>40%；FCF/NI<70%,300.41,14.78,2.0,13.38,13.81,,57.14,23.1,42.57,11.27,60.24,2.36,4.23,0.91,0.49,0.61,0.0,18249740000.0
94,RELX,Industrials,58.8,B-保留观察,6.0,22.113323,26.07,3.89,8.12,否,ROE>40%,49.52,3.89,8.12,5.71,1.38,0.22,66.29,21.53,87.28,13.82,49.24,3.07,11.07,0.49,0.64,1.12,-1.6,2836000000.0
95,HII,Industrials,58.6,B-保留观察,0.0,18.920074,30.93,5.35,1.47,否,无,460.0,5.35,1.47,16.01,-18.92,6.17,12.7,4.85,11.93,4.86,22.93,0.58,8.4,1.13,1.0,1.31,-0.55,1196000000.0
