二筛排名,代码,Yahoo代码,行业,二筛总分,优先级,异常惩罚,PE_TTM,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,52周高点,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,流动比率,总资产周转率,FCF净利润转化率,股数3年CAGR_%,经营现金流_原始值
130,01093,1093.HK,Healthcare,28.2,C-暂缓,18.0,12.745867,16.72,-5.62,-13.94,否,应收增速>营收；经营现金流3Y为负,11.63,-5.62,-13.94,-8.56,6.66,6.55,65.59,14.93,11.7,8.52,1.37,0.02,125.58,2.19,0.57,0.91,-1.5,5831641000.0
131,09899,9899.HK,Communication Services,26.5,C-暂缓,26.0,9.812784,69.56,-4.8,nan,否,应收增速>营收；经营现金流3Y为负；FCF/NI<70%,296.8,-4.8,nan,-4.24,24.3,nan,35.69,35.42,21.35,18.29,0.04,0.0,10659.44,4.04,0.52,0.58,0.0,1618081000.0
132,00762,0762.HK,Communication Services,26.5,C-暂缓,18.0,9.334061,44.64,3.39,7.52,否,应收增速>营收；经营现金流3Y为负,10.17,3.39,7.52,-3.56,31.05,8.91,68.84,5.31,5.65,3.1,5.09,0.09,20.41,0.63,0.58,1.08,0.0,90175000000.0
133,06886,6886.HK,Financial Services,25.8,C-暂缓,8.0,6.902215,17.64,1.74,14.02,否,FCF/NI<70%,21.94,1.74,14.02,nan,,,nan,50.49,7.92,1.73,28.16,1.47,,,0.03,-0.84,-0.18,-12601571386.35
134,09618,9618.HK,Consumer Cyclical,25.2,C-暂缓,18.0,17.421493,23.23,7.76,23.67,否,经营现金流3Y为负；FCF/NI<70%,143.8,7.76,23.67,-31.0,9.93,6.98,16.04,1.5,8.72,2.82,15.41,0.48,10.03,1.22,1.88,0.24,-4.38,18991000000.0
135,02588,2588.HK,Industrials,25.1,C-暂缓,15.0,8.107306,20.5,4.01,239.83,否,利润增长显著快于营收；FCF/NI<70%,91.95,4.01,239.83,13.52,-43.63,,32.37,32.96,11.51,3.06,65.17,2.51,1.77,0.39,0.09,-1.65,0.0,2938049000.0
136,00392,0392.HK,Industrials,25.0,C-暂缓,8.0,6.442726,15.78,3.19,-8.09,否,FCF/NI<70%,36.88,3.19,-8.09,12.94,-0.4,13.85,13.67,5.8,5.68,2.38,37.06,0.89,4.42,0.89,0.41,0.33,-0.06,7407674000.0
137,00384,0384.HK,Utilities,24.2,C-暂缓,10.0,11.32,36.05,-7.16,-14.12,否,经营现金流3Y为负,8.85,-7.16,-14.12,-11.22,-1.5,-9.58,14.78,3.69,4.76,1.78,42.18,1.16,3.81,0.91,0.48,0.93,0.05,7017584000.0
138,00788,0788.HK,Communication Services,23.4,C-暂缓,18.0,10.147269,29.49,2.9,9.79,否,应收增速>营收；经营现金流3Y为负,12.85,2.9,9.79,-4.85,30.89,,93.9,11.58,5.7,3.47,26.88,0.44,7.28,1.29,0.3,2.2,-0.23,56116000000.0
139,02689,2689.HK,Basic Materials,22.8,C-暂缓,8.0,8.159545,33.5,-3.99,-52.13,否,FCF/NI<70%,9.97,-3.99,-52.13,nan,-2.04,-8.59,9.6,1.26,1.56,0.58,49.88,1.44,1.82,1.16,0.46,-18.13,0.0,-794199000.0
