二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
563,601900,601900.SH,沪,南方传媒,19.8,C-暂缓,18.0,9.7153,10.6113,30.23,4.6,9.14,否,应收增速>营收；经营现金流3Y为负,-1.57,3.91,-10.89,8.44,-9.6,36.22,13.8,12.79,6.78,46.01,0.8522,62.33,0.8272,-0.52,-5.85,26.74,1715533304
564,601881,601881.SH,沪,中国银河,19.3,C-暂缓,16.0,10.2914,10.2939,37.36,3.57,11.36,否,经营现金流3Y为负；股数膨胀>2%,-5.6,17.28,-6.8,-4.88,nan,,44.24,8.69,1.57,82.73,4.7904,,1.9256,2.56,-20.21,24.81,24935995656
565,601921,601921.SH,沪,浙版传媒,18.9,C-暂缓,18.0,12.9728,16.5396,21.77,1.46,2.31,否,经营现金流3Y为负；FCF/NI<70%,-3.64,-3.06,-27.38,-0.65,-6.78,29.34,12.24,9.17,6.02,31.8,0.4663,434.48,0.51,0.0,-5.8,18.71,850417776
566,300444,300444.SZ,创,双杰电气,18.5,C-暂缓,33.0,17.0078,259.5018,47.83,31.46,55.77,否,增速异常；利润增速显著快于营收；FCF/NI<70%；股数膨胀>2%,36.95,nan,nan,31.22,28.06,15.19,3.89,10.55,2.57,76.08,3.1806,3.5,-0.8151,3.26,39.23,110.64,5263869
567,600021,600021.SH,沪,上海电力,18.5,C-暂缓,16.0,15.3849,16.7664,57.02,11.58,22.59,否,应收增速>营收；FCF/NI<70%,2.25,49.42,2.5,23.65,-9.66,25.75,12.64,9.08,2.67,69.32,2.2595,3.08,-0.8618,0.05,-2.05,27.13,13076133546
568,002448,002448.SZ,深,中原内配,18.4,C-暂缓,38.0,15.1178,18.1507,28.99,16.59,25.41,否,增速异常；应收增速>营收；经营现金流3Y为负；FCF/NI<70%,19.44,39.81,-25.01,32.59,14.23,27.36,11.95,11.49,7.55,35.77,0.5569,26.05,-0.0107,0.0,18.49,99.76,197963980
569,600872,600872.SH,沪,中炬高新,18.3,C-暂缓,18.0,20.4842,22.2417,17.29,-3.9,-11.13,否,应收增速>营收；经营现金流3Y为负,-7.7,nan,-1.73,71.94,-4.86,39.17,12.82,9.16,6.61,25.68,0.3455,48.87,0.9226,-0.29,-23.9,-43.85,643049857
570,000623,000623.SZ,深,吉林敖东,18.2,C-暂缓,18.0,7.8306,8.3258,18.61,0.73,6.9,否,经营现金流3Y为负；FCF/NI<70%,-6.62,9.45,-13.72,-1.06,-2.84,48.19,101.12,7.85,7.0,10.26,0.1143,47.17,0.0631,0.93,-10.55,55.43,272258821
571,000531,000531.SZ,深,穗恒运A,18.1,C-暂缓,14.0,14.632,28.5497,34.58,3.65,-22.23,否,FCF/NI<70%；股数膨胀>2%,1.74,nan,nan,-6.06,-7.64,15.83,6.13,3.44,1.38,58.03,1.3827,2.18,0.1084,8.2,-3.66,29.19,847182125
572,300226,300226.SZ,创,上海钢联,17.7,C-暂缓,14.0,27.4783,45.783,52.99,3.85,0.16,否,FCF/NI<70%；股数膨胀>2%,-2.63,2.31,nan,-25.9,19.97,1.34,0.52,8.77,1.38,86.7,6.5188,74.56,-1.2043,6.04,-13.08,24.89,-440845151
