二筛排名,代码,TS代码,板块,简称,二筛总分,评级档,异常惩罚,PE_TTM,扣非PE,距52周高点跌幅_%,营收5年CAGR_%,净利润5年CAGR_%,已在Watchlist,量化警示,营收3年CAGR_%,净利润3年CAGR_%,经营现金流3年CAGR_%,应收账款3年CAGR_%,库存3年CAGR_%,毛利率_%,净利率_%,ROE_%,ROA_%,资产负债率_%,长期债务权益比,利息保障倍数,FCF净利润转化率,股数3年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,经营现金流_原始值
1,603605,603605.SH,沪,珀莱雅,85.9,A-优先三件套,6.0,15.3109,15.7316,38.04,23.08,27.85,否,股数膨胀>2%,18.4,22.88,25.44,-11.78,-1.74,73.26,14.56,26.25,19.26,26.17,0.3545,50.46,1.3143,11.78,-1.68,-2.7,2193146649
2,603508,603508.SH,沪,思维列控,85.6,A-优先三件套,0.0,14.1744,14.3065,43.53,12.49,nan,否,无,12.5,16.45,43.59,4.95,5.95,66.49,37.64,12.76,11.66,9.2,0.1013,3627.03,1.1426,0.0,0.29,0.41,671825347
3,000975,000975.SZ,深,山金国际,85.3,A-优先三件套,0.0,20.8941,20.7524,32.42,16.68,19.06,否,无,26.83,37.97,33.0,-48.08,-5.15,31.82,19.11,20.69,16.84,18.65,0.2293,75.3,1.0367,0.0,25.86,34.49,4680085595
4,300470,300470.SZ,创,中密控股,84.3,A-优先三件套,0.0,16.3634,17.1016,31.37,13.86,12.8,否,无,13.35,7.61,15.2,4.48,12.64,45.58,21.8,13.8,11.46,17.1,0.2063,592.4,0.82,-0.03,12.91,-1.9,408804110
5,002001,002001.SZ,深,新和成,82.7,A-优先三件套,0.0,11.9224,12.2526,30.78,16.62,13.72,否,无,11.77,23.19,26.35,10.39,3.9,44.67,30.57,21.8,15.36,27.73,0.3837,35.82,1.0336,-0.19,2.97,15.35,8797431341
6,600415,600415.SH,沪,小商品城,82.7,A-优先三件套,0.0,15.5864,16.9267,46.67,39.85,35.53,否,无,37.77,56.32,95.92,27.6,21.49,31.44,21.16,19.34,10.09,48.14,0.9283,67.85,2.1712,-0.02,26.62,36.95,10529211443
7,688334,688334.SH,科,西高院,82.5,A-优先三件套,0.0,22.2558,24.2356,37.56,20.28,33.56,否,无,18.54,28.53,34.68,18.56,-6.39,54.47,31.89,9.15,7.56,17.22,0.208,287.09,1.2606,0.0,8.72,8.6,480400164
8,600989,600989.SH,沪,宝丰能源,82.0,A-优先三件套,0.0,11.4867,11.6459,34.06,24.71,19.68,否,无,19.11,21.66,36.5,-19.48,13.42,35.92,23.63,24.84,12.63,46.32,0.8629,14.98,0.8994,0.0,45.64,79.09,16851078344
9,300685,300685.SZ,创,艾德生物,81.9,A-优先三件套,0.0,20.8127,21.8571,27.38,10.46,14.91,否,无,12.46,10.98,34.77,12.57,4.37,82.59,30.16,18.53,16.37,12.42,0.1418,197.72,0.8206,-0.56,8.01,41.74,364824060
10,002690,002690.SZ,深,美亚光电,81.8,A-优先三件套,0.0,18.6005,19.3456,32.81,9.98,10.41,否,无,4.37,-0.5,44.94,3.43,-12.61,53.92,29.88,25.17,20.71,18.88,0.2327,100.0,1.2738,-0.01,4.16,10.77,962109305
11,002773,002773.SZ,深,康弘药业,81.4,A-优先三件套,0.0,18.1695,18.8433,55.44,6.83,nan,否,无,10.6,9.78,17.57,8.12,7.14,89.85,24.98,12.78,11.89,6.5,0.0695,100.0,1.0837,0.07,2.98,-2.68,1503648453
12,002315,002315.SZ,深,焦点科技,81.2,A-优先三件套,0.0,21.7938,22.2815,59.24,10.64,24.17,否,无,9.21,18.92,22.36,-19.01,-34.79,79.3,26.28,19.04,11.17,42.52,0.7397,660.55,1.7435,0.68,15.12,11.03,888363914
13,300144,300144.SZ,创,宋城演艺,79.3,A-优先三件套,0.0,20.3553,21.3542,40.12,20.12,nan,否,无,70.21,nan,67.0,56.21,-15.45,64.76,37.71,9.92,8.5,14.53,0.17,60.48,1.502,0.13,-6.61,-20.82,1545931208
14,688578,688578.SH,科,艾力斯,78.5,A-优先三件套,0.0,19.5714,21.1131,15.76,521.17,nan,否,无,87.18,155.97,193.75,35.54,30.73,96.83,42.2,35.41,31.68,10.39,0.1159,19128.99,0.976,0.0,45.8,53.1,2322531541
15,603979,603979.SH,沪,金诚信,78.3,A-优先三件套,0.0,18.6029,18.6687,16.34,29.17,44.57,否,无,37.41,55.21,66.0,7.99,15.44,33.82,16.28,22.39,11.54,49.83,0.9932,12.74,1.3399,1.2,39.74,44.01,4377465067
16,000426,000426.SZ,深,兴业银锡,77.2,A-优先三件套,0.0,27.2114,32.384,45.35,42.66,nan,否,无,38.61,114.02,47.42,5.72,11.61,57.59,30.68,18.79,11.63,40.76,0.688,10.73,1.1506,-1.13,30.09,13.49,2488264348
17,688093,688093.SH,科,世华科技,77.1,B-保留观察,14.0,17.8913,18.6077,44.27,27.0,25.35,否,FCF/NI<70%；股数膨胀>2%,32.96,29.1,37.74,20.3,25.33,58.11,36.71,16.8,15.69,5.64,0.0598,42131.58,0.2155,5.16,36.75,42.64,455401555
18,605599,605599.SH,沪,菜百股份,77.0,A-优先三件套,0.0,10.8217,10.9443,40.53,32.46,25.85,否,无,37.9,35.8,48.46,-8.92,16.14,8.3,4.01,26.54,13.85,50.56,1.0227,60.6,1.6896,0.0,42.44,59.07,1985148480
19,002517,002517.SZ,深,恺英网络,76.3,A-优先三件套,7.0,16.3928,18.9635,45.51,28.11,50.97,否,利润增速显著快于营收,12.64,11.8,15.12,5.67,63.15,80.84,35.72,23.13,18.03,24.27,0.3205,427.29,1.1216,-0.25,4.04,16.87,2262661915
20,300693,300693.SZ,创,盛弘股份,76.1,A-优先三件套,6.0,24.5842,24.7871,39.75,35.03,34.92,否,股数膨胀>2%,32.07,28.5,51.33,20.33,9.89,38.47,13.7,23.75,12.1,47.8,0.9157,95.32,1.2205,15.07,14.05,11.77,701018629
21,002947,002947.SZ,深,恒铭达,75.5,A-优先三件套,6.0,25.439,26.4423,45.52,34.73,38.39,否,股数膨胀>2%,22.68,40.44,88.46,21.38,0.56,31.98,18.67,16.94,12.7,29.61,0.4207,118.38,1.1584,3.64,14.94,17.07,686654971
22,002595,002595.SZ,深,豪迈科技,75.2,A-优先三件套,8.0,23.5108,24.8283,52.3,15.91,18.92,否,FCF/NI<70%,18.59,25.91,23.01,18.5,18.39,33.56,21.62,21.85,18.11,18.49,0.2268,893.82,0.0517,0.0,25.7,18.93,1033723043
23,301061,301061.SZ,创,匠心家居,75.2,A-优先三件套,6.0,11.8961,12.9831,70.88,20.72,33.06,否,股数膨胀>2%,32.2,36.91,44.09,38.2,17.71,39.29,25.38,22.02,17.53,22.51,0.2905,75.27,0.8268,19.56,32.6,25.56,788922522
24,688029,688029.SH,科,南微医学,75.2,A-优先三件套,0.0,25.0552,26.086,27.03,19.14,16.96,否,无,17.15,20.51,40.11,23.88,3.07,64.09,18.3,14.14,11.37,20.53,0.2583,138.1,0.7497,0.01,15.55,2.55,687945754
25,603699,603699.SH,沪,纽威股份,74.4,A-优先三件套,0.0,25.4138,25.6429,17.15,16.42,24.87,否,无,24.15,50.62,57.34,15.79,10.97,39.28,20.86,35.68,16.86,55.6,1.2523,46.31,1.2286,1.16,24.53,39.04,2192839228
26,603337,603337.SH,沪,杰克科技,74.3,A-优先三件套,0.0,20.8269,23.063,33.89,13.34,22.4,否,无,6.19,20.03,13.26,1.68,-13.31,34.24,13.16,17.36,10.65,37.71,0.6054,94.97,1.2935,-0.66,8.1,4.78,1284877061
27,603606,603606.SH,沪,东方电缆,74.2,A-优先三件套,0.0,20.6379,20.819,53.87,16.5,7.46,否,无,15.66,14.71,44.79,13.24,44.07,22.11,11.73,16.79,9.18,46.69,0.8758,138.26,0.9295,0.0,19.26,26.11,1964747569
28,002901,002901.SZ,深,大博医疗,73.1,A-优先三件套,0.0,28.462,35.5746,33.52,10.39,0.71,否,无,21.95,79.99,86.36,-2.29,7.73,70.5,24.49,18.55,13.63,25.16,0.3362,114.75,1.0977,-0.25,21.79,65.3,831337038
29,603025,603025.SH,沪,大豪科技,73.1,B-保留观察,14.0,18.2824,17.9245,36.65,29.24,28.5,否,FCF/NI<70%；股数膨胀>2%,23.4,18.47,20.58,15.05,8.24,43.37,25.28,26.26,16.16,38.53,0.6268,31.27,0.4303,6.5,18.7,21.6,382560547
30,605116,605116.SH,沪,奥锐特,72.3,A-优先三件套,8.0,20.5816,21.197,43.93,18.66,23.36,否,FCF/NI<70%,18.97,29.22,36.31,24.75,13.17,59.67,26.46,18.01,11.09,37.05,0.5886,15.55,0.1613,0.0,15.03,26.61,421496354
31,300832,300832.SZ,创,新产业,72.1,A-优先三件套,8.0,23.7378,24.5168,27.46,15.83,11.52,否,应收增速>营收,14.52,6.86,16.52,27.76,7.41,69.25,35.4,18.29,16.57,8.01,0.0871,3430.08,0.7474,-0.02,0.91,-11.39,1522397398
32,605099,605099.SH,沪,共创草坪,71.7,B-保留观察,8.0,19.1492,19.6195,39.37,12.21,10.19,否,应收增速>营收,10.03,14.31,13.37,18.17,5.43,34.22,20.29,22.58,17.8,24.81,0.33,112.82,0.797,0.07,11.49,30.6,737236959
33,605056,605056.SH,沪,咸亨国际,71.4,B-保留观察,0.0,22.0032,22.2452,53.7,18.03,2.84,否,无,29.01,8.68,37.63,23.21,-2.17,24.16,6.14,15.68,7.73,54.03,1.1753,369.27,1.8006,-0.03,26.48,16.88,561113952
34,002558,002558.SZ,深,巨人网络,71.1,B-保留观察,12.0,19.9681,17.8726,51.02,17.88,11.18,否,增速异常,35.3,28.48,59.41,16.87,nan,91.03,35.03,12.5,10.49,18.67,0.2296,90.96,1.6261,-1.18,72.69,23.58,2985105474
35,300009,300009.SZ,创,安科生物,71.1,B-保留观察,0.0,21.6008,23.7679,31.32,9.24,16.61,否,无,4.32,0.43,7.29,0.25,6.29,75.7,28.24,16.54,13.99,14.62,0.1712,429.84,1.0088,-0.01,4.36,4.4,863220471
36,002602,002602.SZ,深,世纪华通,71.0,B-保留观察,12.0,16.2136,16.2459,38.55,21.28,22.14,否,增速异常,48.92,nan,79.1,18.65,6.92,69.95,15.09,20.18,13.72,29.73,0.4231,26.58,1.3594,-0.37,67.55,447.24,8564365729
37,603766,603766.SH,沪,隆鑫通用,70.9,B-保留观察,0.0,18.1896,18.026,17.4,12.89,28.7,否,无,15.53,49.62,33.96,5.66,4.73,19.03,8.53,17.25,9.77,44.38,0.7979,51.51,1.5641,0.0,13.75,54.52,2876130711
38,002956,002956.SZ,深,西麦食品,70.7,B-保留观察,0.0,22.2182,23.4844,51.47,16.93,5.49,否,无,19.05,16.67,11.28,17.74,21.18,41.95,7.71,10.92,7.73,28.41,0.3968,121.21,0.8614,-0.0,18.11,29.74,265068890
39,300015,300015.SZ,创,爱尔眼科,70.6,B-保留观察,6.0,22.9794,23.788,40.29,13.41,13.1,否,股数膨胀>2%,11.54,8.9,9.97,5.31,10.29,47.11,15.54,15.36,9.93,36.2,0.5674,17.14,1.1188,9.12,6.53,-7.04,5972727509
40,605098,605098.SH,沪,行动教育,70.4,B-保留观察,8.0,18.2073,21.2546,21.2,16.46,24.4,否,应收增速>营收,21.62,42.34,79.58,166.94,-16.65,78.86,39.84,32.55,13.98,57.44,1.3496,207.66,1.2737,0.33,3.55,19.05,414772877
41,300113,300113.SZ,创,顺网科技,70.3,B-保留观察,7.0,26.4962,35.8724,47.65,10.81,31.29,否,利润增速显著快于营收,15.79,nan,66.0,13.87,5.19,48.46,25.81,18.39,15.4,14.29,0.1667,146.48,0.7243,-0.52,-5.18,59.31,366854683
42,300595,300595.SZ,创,欧普康视,69.8,B-保留观察,0.0,21.137,25.7854,44.94,16.41,4.15,否,无,6.86,-7.92,3.86,8.01,11.65,72.46,29.23,10.31,8.85,13.61,0.1575,47.51,1.1273,0.02,2.62,-12.52,730078196
43,600489,600489.SH,沪,中金黄金,69.8,B-保留观察,0.0,20.9939,19.1145,34.47,10.5,25.95,否,无,11.43,34.85,13.84,-16.84,2.04,16.71,7.76,17.78,10.38,41.75,0.7167,19.25,0.8714,0.0,20.62,45.92,8375244370
44,688789,688789.SH,科,宏华数科,69.7,B-保留观察,14.0,18.0563,20.0738,48.63,26.32,26.41,否,FCF/NI<70%；股数膨胀>2%,37.05,30.14,15.95,37.29,29.41,43.05,23.99,16.04,11.97,25.7,0.3459,124.51,-0.1357,33.29,28.61,27.65,279580132
45,002287,002287.SZ,深,奇正藏药,69.6,B-保留观察,6.0,17.1811,23.162,47.96,10.35,9.79,否,股数膨胀>2%,5.72,11.31,36.69,-0.95,32.03,83.05,26.8,14.22,9.45,27.77,0.3845,18.51,0.8912,2.57,3.34,11.37,729702695
46,688128,688128.SH,科,中国电研,69.5,B-保留观察,0.0,16.3809,18.0859,42.67,13.6,13.7,否,无,7.89,14.54,19.81,0.99,13.85,34.15,11.29,15.73,6.8,57.3,1.3419,142.96,1.7187,0.0,5.38,14.4,1213352579
47,920029,920029.BJ,北,开发科技,69.1,B-保留观察,6.0,12.8154,13.1259,68.35,7.15,16.74,否,股数膨胀>2%,19.04,56.77,75.22,14.12,-10.82,39.31,23.39,24.16,17.71,20.31,0.2549,172.9,0.7836,11.57,2.99,20.08,697931734
48,000423,000423.SZ,深,东阿阿胶,68.9,B-保留观察,7.0,17.3659,18.5199,17.15,14.47,111.62,否,利润增速显著快于营收,18.35,30.67,2.19,-29.9,-12.3,73.47,25.95,16.8,13.13,22.55,0.2912,304.69,1.2781,-0.51,13.17,11.66,2289207775
49,603380,603380.SH,沪,易德龙,68.4,B-保留观察,0.0,25.5044,25.7206,37.0,12.18,6.22,否,无,5.08,6.89,109.11,-6.79,2.1,25.44,9.81,14.37,9.92,26.92,0.3684,528.3,1.1881,-0.2,5.95,20.06,354991463
50,605183,605183.SH,沪,确成股份,68.3,B-保留观察,8.0,13.631,13.299,39.84,16.04,20.76,否,FCF/NI<70%,8.33,9.29,11.16,-1.93,0.42,34.92,22.37,14.06,12.16,14.36,0.1677,198.89,0.0936,-0.13,1.04,-8.13,570014697
51,601633,601633.SH,沪,长城汽车,68.1,B-保留观察,0.0,14.4023,25.7254,43.39,16.62,12.97,否,无,17.5,6.13,48.55,13.24,5.33,18.04,4.43,11.82,4.45,60.99,1.5634,15.5,2.9846,-0.79,10.2,-22.27,40355401298
52,001914,001914.SZ,深,招商积余,68.0,B-保留观察,0.0,13.668,14.7009,36.2,17.42,9.99,否,无,13.96,4.98,18.14,1.54,-3.58,11.09,3.41,6.13,3.35,45.9,0.8484,37.61,2.4771,-0.21,12.23,-24.33,1640954562
53,002545,002545.SZ,深,东方铁塔,67.6,B-保留观察,12.0,15.4548,15.91,43.62,12.97,31.27,否,增速异常,10.5,13.6,94.73,-5.32,-5.84,40.33,24.69,12.9,8.7,30.83,0.4457,28.64,1.7631,0.0,16.27,113.81,2387624791
54,002847,002847.SZ,深,盐津铺子,67.6,B-保留观察,14.0,14.9399,15.5227,44.86,24.08,25.13,否,FCF/NI<70%；股数膨胀>2%,25.81,35.0,28.79,12.09,17.43,30.8,12.89,37.76,19.31,47.07,0.8893,43.0,0.0284,28.45,8.64,15.96,908977876
55,300002,300002.SZ,创,神州泰岳,67.5,B-保留观察,0.0,21.3087,20.5097,50.16,10.11,19.15,否,无,6.59,13.88,2.99,7.26,2.78,57.71,13.51,10.73,9.32,12.65,0.1448,299.29,1.3506,0.1,-9.79,-44.62,1141532247
56,300304,300304.SZ,创,云意电气,67.3,B-保留观察,8.0,25.2406,29.9317,42.59,23.36,21.41,否,FCF/NI<70%,26.88,57.07,56.99,25.72,12.92,34.81,22.52,15.88,12.3,23.54,0.3079,746.54,0.3076,0.25,11.83,24.77,360813176
57,601808,601808.SH,沪,中海油服,67.3,B-保留观察,0.0,15.6037,15.8051,42.97,11.67,8.35,否,无,12.14,17.65,17.84,1.8,-1.95,17.39,8.07,8.87,4.85,44.18,0.7915,8.89,1.3365,0.0,4.1,19.44,11289935638
58,603153,603153.SH,沪,上海建科,66.9,B-保留观察,0.0,14.3346,17.0679,37.52,12.5,9.67,否,无,12.01,9.49,29.41,16.22,1.35,36.94,8.06,9.42,6.29,34.85,0.5349,38.05,0.8574,0.0,20.44,11.39,458315022
59,301101,301101.SZ,创,明月镜片,66.5,B-保留观察,6.0,29.3907,34.0994,43.08,8.92,20.09,否,股数膨胀>2%,9.92,11.23,24.42,-6.52,1.93,57.35,24.62,11.57,10.5,10.73,0.1202,194.15,0.914,14.47,7.43,8.37,282824194
60,300019,300019.SZ,创,硅宝科技,66.4,B-保留观察,0.0,26.5001,27.9179,45.44,19.75,6.74,否,无,11.66,3.62,65.78,3.71,19.1,21.04,7.42,10.57,6.8,33.96,0.5142,41.84,1.6029,0.17,18.75,15.63,577746699
61,002130,002130.SZ,深,沃尔核材,66.1,B-保留观察,8.0,20.2746,21.2421,53.42,15.59,23.31,否,FCF/NI<70%,16.53,22.75,10.07,16.84,20.69,31.65,14.44,18.88,10.81,44.76,0.8103,27.02,0.1026,0.0,22.0,32.61,1160052323
62,603871,603871.SH,沪,嘉友国际,66.1,B-保留观察,14.0,14.417,14.586,23.14,20.62,25.92,否,FCF/NI<70%；股数膨胀>2%,20.15,19.0,30.61,9.27,-1.83,18.48,13.67,19.23,14.55,23.78,0.312,46.66,0.6781,39.86,-4.31,-10.63,1131257526
63,600993,600993.SH,沪,马应龙,65.7,B-保留观察,0.0,16.7967,17.3461,23.76,6.73,7.06,否,无,3.06,8.04,20.65,5.55,-1.54,49.19,15.67,13.9,11.41,16.95,0.2041,91.59,0.795,0.0,3.72,10.47,600440357
64,002967,002967.SZ,深,广电计量,65.1,B-保留观察,0.0,24.5435,27.1705,35.37,14.38,12.77,否,无,11.43,32.61,20.16,8.5,43.35,46.84,12.31,12.4,6.67,44.63,0.806,11.13,1.0806,0.46,12.37,23.37,951810586
65,002833,002833.SZ,深,弘亚数控,65.0,B-保留观察,0.0,17.6047,19.0815,19.18,7.53,3.7,否,无,4.52,-3.81,13.87,-13.58,10.31,32.12,17.72,14.38,10.2,29.69,0.4223,9.42,1.1995,0.0,-9.84,-17.38,621803842
66,600563,600563.SH,沪,法拉电子,65.0,B-保留观察,8.0,24.8492,26.1418,33.06,23.02,16.15,否,FCF/NI<70%,11.56,5.34,6.92,7.79,9.64,32.12,22.39,20.97,14.42,30.91,0.4474,317.58,0.6105,0.0,11.64,14.43,1272639418
67,688336,688336.SH,科,三生国健,65.0,B-保留观察,18.0,13.8639,14.8884,50.67,45.0,nan,否,增速异常；ROE>40%,71.98,299.27,135.34,0.96,4.7,92.07,68.87,41.46,38.76,6.06,0.0645,5681.04,0.965,0.0,251.81,318.26,3043452400
68,002275,002275.SZ,深,桂林三金,64.9,B-保留观察,0.0,19.1009,20.0684,23.88,5.48,9.35,否,无,1.44,9.54,10.23,4.22,-6.02,76.03,21.17,13.97,10.2,25.06,0.3344,27.1,1.4343,0.0,-6.76,-16.95,708121274
69,600897,600897.SH,沪,厦门空港,64.9,B-保留观察,6.0,11.9884,13.255,34.71,11.07,24.23,否,股数膨胀>2%,27.22,139.23,69.25,16.48,-18.63,39.66,26.81,11.24,9.35,16.22,0.1936,202.0,1.3073,11.87,10.05,19.97,800327355
70,601899,601899.SH,沪,紫金矿业,64.6,B-保留观察,7.0,13.6539,13.7599,22.7,15.27,49.81,否,利润增速显著快于营收,8.9,37.1,38.04,5.55,12.12,27.73,18.28,29.98,14.05,51.56,1.0644,20.87,0.7016,0.33,14.96,62.01,75429516296
71,000888,000888.SZ,深,峨眉山A,64.3,B-保留观察,0.0,23.3639,23.1932,36.97,14.84,nan,否,无,29.37,nan,nan,7.77,-5.81,49.89,14.14,5.48,4.05,26.46,0.3598,9.7,2.2317,0.0,-7.88,-18.33,354653729
72,000786,000786.SZ,深,北新建材,64.1,B-保留观察,0.0,12.2876,13.1041,43.06,8.51,-0.17,否,无,8.24,-1.56,4.69,5.53,-3.29,28.81,11.86,10.9,8.42,21.6,0.2755,76.71,1.0209,0.25,-2.09,-19.52,4203945682
73,301215,301215.SZ,创,中汽股份,63.9,B-保留观察,8.0,26.7168,30.0626,33.16,14.52,16.26,否,FCF/NI<70%,21.18,14.34,36.99,20.28,-18.38,63.67,36.81,7.25,6.01,16.59,0.1989,366.39,0.5614,0.04,44.41,27.62,300161144
74,603173,603173.SH,沪,福斯达,63.9,B-保留观察,6.0,12.6454,13.0806,43.09,22.74,23.82,否,股数膨胀>2%,16.77,43.72,251.63,12.89,30.35,26.31,14.03,23.39,7.74,64.6,1.8249,119.92,1.8958,10.06,24.14,61.34,912062581
75,603338,603338.SH,沪,浙江鼎力,63.8,B-保留观察,8.0,14.1522,14.8642,16.78,23.73,23.38,否,FCF/NI<70%,16.35,14.74,11.9,12.59,17.36,34.26,22.15,17.71,11.61,34.25,0.5209,189.75,0.3435,0.0,9.96,16.58,1312489815
76,603929,603929.SH,沪,亚翔集成,63.7,B-保留观察,6.0,29.1639,29.5202,41.41,39.48,nan,否,ROE>40%,17.31,80.12,84.25,-10.85,-52.53,24.57,18.06,42.52,18.79,57.01,1.3261,416.56,1.8744,0.0,-8.81,39.7,1665902538
77,300181,300181.SZ,创,佐力药业,63.6,B-保留观察,15.0,15.2599,15.6329,32.84,22.76,46.47,否,利润增速显著快于营收；FCF/NI<70%,18.98,31.04,8.93,20.15,18.6,61.6,21.13,21.2,14.76,31.21,0.4537,53.0,0.1954,0.0,17.96,24.51,411801735
78,002606,002606.SZ,深,大连电瓷,63.4,B-保留观察,0.0,23.8646,26.0707,24.71,15.39,14.97,否,无,13.84,5.59,13.67,18.57,22.18,32.12,11.91,11.68,7.06,40.25,0.6736,27.96,1.8833,-0.02,18.92,1.17,493569120
79,688208,688208.SH,科,道通科技,63.3,B-保留观察,14.0,18.0389,19.384,41.38,25.09,15.51,否,FCF/NI<70%；股数膨胀>2%,28.73,121.8,nan,18.27,13.48,56.07,18.43,25.04,13.13,49.17,0.9673,15.08,0.5206,14.04,22.9,58.92,595597662
80,600406,600406.SH,沪,国电南瑞,62.9,B-保留观察,6.0,22.3671,23.2161,27.73,11.46,11.19,否,股数膨胀>2%,12.25,8.66,13.38,11.18,16.33,25.84,13.37,16.21,9.24,42.73,0.7461,476.75,1.2036,6.26,15.35,8.73,12768702125
81,300896,300896.SZ,创,爱美客,62.6,B-保留观察,6.0,25.5244,30.7734,54.48,28.16,24.6,否,股数膨胀>2%,8.15,0.88,3.51,2.58,25.89,92.7,53.07,16.15,15.09,8.35,0.0911,211.08,0.8863,11.83,-18.94,-33.47,1324231593
82,600268,600268.SH,沪,国电南自,62.6,B-保留观察,6.0,20.7231,21.8142,39.74,13.9,25.66,否,股数膨胀>2%,11.23,28.09,25.25,10.66,2.44,26.29,7.73,16.5,6.46,60.83,1.553,103.56,1.1327,12.89,6.8,28.09,897030617
83,603786,603786.SH,沪,科博达,62.6,B-保留观察,8.0,21.0015,21.4085,63.11,18.94,8.42,否,FCF/NI<70%,27.02,19.68,nan,24.28,11.05,25.46,12.4,15.43,10.64,33.19,0.4968,41.54,0.2043,-0.02,16.19,6.04,546805575
84,605499,605499.SH,沪,东鹏饮料,62.2,B-保留观察,20.0,17.9581,19.5345,62.13,33.31,40.3,否,ROE>40%；应收增速>营收；股数膨胀>2%,34.89,45.25,44.98,54.3,18.56,44.91,21.14,51.58,17.87,64.73,1.8353,54.32,0.8862,9.14,31.8,32.7,6174239868
85,688100,688100.SH,科,威胜信息,62.2,B-保留观察,16.0,22.389,23.1503,47.49,15.5,19.28,否,应收增速>营收；FCF/NI<70%,14.12,18.32,26.11,31.21,5.56,40.17,22.38,19.34,12.52,37.79,0.6075,2299.67,0.4371,-0.56,8.48,5.6,516042455
86,603486,603486.SH,沪,科沃斯,61.9,B-保留观察,12.0,17.48,22.639,45.25,21.36,22.25,否,增速异常,7.5,1.12,25.16,6.39,3.83,48.82,9.23,21.65,10.83,48.12,0.9275,45.18,1.5385,0.31,15.1,118.21,3386757988
87,603899,603899.SH,沪,晨光股份,61.9,B-保留观察,0.0,15.301,18.5195,31.98,13.79,1.91,否,无,7.82,0.14,19.07,15.69,0.89,18.36,5.43,14.1,7.85,45.36,0.8302,61.13,1.409,-0.21,3.45,-6.43,2282072469
88,002997,002997.SZ,深,瑞鹄模具,61.5,B-保留观察,6.0,14.5264,15.4684,35.78,28.22,33.32,否,股数膨胀>2%,41.27,46.38,76.0,32.08,17.7,24.16,13.83,17.16,6.98,60.68,1.5432,93.01,0.7132,4.47,35.8,12.91,518894493
89,002911,002911.SZ,深,佛燃能源,61.0,B-保留观察,6.0,13.2346,13.451,39.83,34.92,15.65,否,股数膨胀>2%,21.09,22.49,13.86,-7.62,14.99,6.22,3.53,12.04,6.0,49.35,0.9743,15.01,1.3058,10.88,6.35,22.34,1898152725
90,601799,601799.SH,沪,星宇股份,61.0,B-保留观察,8.0,14.9121,15.2836,45.43,15.81,6.97,否,应收增速>营收,22.75,19.93,20.05,51.31,3.45,19.65,10.65,15.05,8.95,41.08,0.6972,262.28,0.9366,0.0,15.12,15.32,2436690466
91,000682,000682.SZ,深,东方电子,60.9,B-保留观察,8.0,15.2551,20.5114,25.58,17.64,23.92,否,FCF/NI<70%,15.34,23.36,25.13,12.71,9.67,32.24,11.07,15.44,6.96,54.27,1.1867,219.96,0.629,0.0,11.04,24.85,808247052
92,000807,000807.SZ,深,云铝股份,60.8,B-保留观察,7.0,10.3397,10.4561,32.3,15.22,42.88,否,利润增速显著快于营收,7.4,11.73,6.84,-28.94,6.36,16.79,12.24,21.75,17.07,19.84,0.2475,126.21,1.0607,0.0,10.27,44.1,8432323187
93,002452,002452.SZ,深,长高电气,60.6,B-保留观察,0.0,19.027,26.019,19.05,1.29,10.54,否,无,10.83,91.89,16.38,-1.58,2.52,38.82,20.64,13.41,9.46,27.47,0.3787,124.74,0.864,0.0,-5.41,36.31,358530322
94,300641,300641.SZ,创,正丹股份,60.6,B-保留观察,13.0,22.8404,25.9981,46.03,11.69,75.41,否,利润增速显著快于营收；股数膨胀>2%,5.98,133.86,120.5,12.26,-24.73,38.1,31.18,23.76,22.25,3.92,0.0408,91381.51,1.4622,2.85,-34.19,-39.99,1110122354
95,300012,300012.SZ,创,华测检测,60.2,B-保留观察,0.0,22.8799,24.4897,15.8,13.16,11.6,否,无,8.87,3.32,7.61,14.21,8.94,48.62,15.4,13.54,10.29,23.88,0.3137,72.03,0.7313,0.0,8.82,9.32,1371300497
96,300724,300724.SZ,创,捷佳伟创,60.2,B-保留观察,8.0,9.2265,10.5281,62.08,30.78,38.6,否,FCF/NI<70%,37.09,35.74,nan,31.21,-7.72,28.26,16.92,21.44,8.95,46.33,0.8632,570.39,-0.5371,0.01,-18.08,-5.37,-1204364966
97,688526,688526.SH,科,科前生物,60.1,B-保留观察,0.0,15.6563,18.5191,35.8,2.41,-1.42,否,无,-1.75,0.63,3.41,-4.14,-5.21,66.97,43.9,10.19,8.98,11.48,0.1297,240.68,0.8452,-0.01,0.83,9.29,468541833
98,000513,000513.SZ,深,丽珠集团,60.0,B-保留观察,0.0,15.5165,15.8328,32.67,2.7,2.5,否,无,-1.63,7.23,4.29,-2.36,-8.61,65.9,20.06,15.83,9.95,35.18,0.5427,45.83,1.0671,-1.73,1.76,4.62,3145038968
99,600012,600012.SH,沪,皖通高速,59.7,B-保留观察,0.0,14.2175,14.2032,20.8,20.62,16.51,否,无,8.89,9.56,22.24,nan,-1.57,44.5,27.66,11.58,6.42,53.29,1.1409,9.49,0.7221,0.99,-5.22,9.96,3539492973
100,688187,688187.SH,科,时代电气,59.7,B-保留观察,8.0,15.3097,16.0181,31.28,12.35,11.53,否,FCF/NI<70%,16.76,18.46,24.77,14.81,14.36,33.43,15.01,9.5,6.3,36.29,0.5696,175.11,-0.0102,-1.39,15.23,9.12,3964724300
