代码,行业,最新价,流通市值_亿美元,PE_TTM,距52周高点跌幅_%,52周高点,营收5年CAGR_%,净利润5年CAGR_%,最新季度营收同比_%,最新季度净利润同比_%,营业利润占比_%,ROE_%,资产负债率_%,经营现金流_原始值,数据日期,待核验项,已在Watchlist
BCO,Industrials,109.69,44.36,25.274552,19.56,136.37,5.07,5.39,,,,71.91,62.9,639500000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BF.A,,28.6,93.15,19.084967,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BF.B,,28.04,90.69,18.581699,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BFAM,Consumer Cyclical,73.185,32.77,23.113781,41.1,124.25,13.24,33.79,,,,14.42,45.26,350726000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BGC,Financial Services,10.865,36.61,27.07079,15.71,12.89,17.63,47.07,,,,15.93,45.17,394353000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BK,,137.16,938.17,17.015968,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BRK.A,,746781.3,9254.85,12.575984,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BRO,Financial Services,71.5678,207.15,22.505782,26.77,97.73,17.38,16.19,,,,8.4,26.4,1450000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BSX,Healthcare,50.475,752.48,21.073548,53.9,109.5,16.54,60.72,,,,11.96,26.19,4534000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BTG,Basic Materials,5.23,69.2,9.398999,16.85,6.29,20.89,16.7,,,,11.18,10.18,895836000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BTI,Consumer Defensive,56.21,1098.89,14.516916,16.48,67.3,-2.53,5.21,,,,16.2,32.09,6342000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
AMKR,Technology,51.63,63.33,22.820628,46.6,96.68,-1.84,-21.26,,,,8.36,nan,1095606000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
APP,Communication Services,313.176,795.62,23.891991,58.0,745.61,24.84,nan,,,,156.17,48.83,3971094000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BDC,Technology,125.44,49.2,20.84091,21.6,159.99,1.37,-2.3,,,,18.78,39.57,354864000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
BJ,Consumer Defensive,89.94,116.57,21.103464,15.7,106.69,3.57,4.07,,,,26.32,36.3,1030056000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CNM,Industrials,44.63,87.47,19.197828,33.57,67.18,4.76,6.41,,,,22.08,40.05,650000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
COR,Healthcare,316.5,579.23,23.556517,16.17,377.54,10.43,-2.92,,,,103.06,10.0,3875120000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CPA,Industrials,128.685,36.5,8.521657,19.81,160.47,6.86,24.5,,,,24.2,35.01,1150436000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CPB,Consumer Defensive,23.025,45.72,11.677505,32.62,34.17,6.19,-7.35,,,,15.43,48.42,1131000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CRM,Technology,205.59,1634.29,23.92342,23.6,269.11,9.82,229.74,,,,12.61,15.29,14996000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CSL,Industrials,354.5,143.31,21.020885,18.11,432.91,-2.7,-7.11,,,,41.26,46.01,1101800000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CTRA,,32.56,244.83,15.00149,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CTSH,Technology,60.62,273.41,13.124668,30.35,87.03,2.8,-0.88,,,,14.85,5.57,2883000000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
CXT,Industrials,48.16,27.86,20.066116,30.2,69.0,7.33,-10.87,,,,11.58,38.82,241500000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VICI,Real Estate,26.42,289.52,10.22093,22.1,33.915,15.49,35.42,,,,9.98,37.86,2509991000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
VMI,Industrials,483.535,91.42,18.856453,17.44,585.71,-1.89,10.1,,,,20.5,27.47,456484000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WAL,Financial Services,80.04,82.94,9.068159,17.68,97.23,11.81,-2.87,,,,12.66,6.98,-2678900000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSO,Industrials,313.02,115.62,27.389745,31.8,459.0,-0.16,-6.15,,,,17.87,10.85,569613000.0,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
WSO.B,,309.28,110.04,26.502142,,,,,,,,nan,,,2026-08-20,毛利率≥25%；自由现金流最近一年为正；行业归类与普通股身份；利润质量及每股增长,否
